Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;RDXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;RDXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;RDXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;RDXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;RDXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;RDXXXM;M;Others (miscellaneous);
Group;RMXXXX;Others (miscellaneous);"Entitlements (rights) that do not fit into any of the other Entitlements (rights) Groups.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;RMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;RMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;RMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;RMXXXX;X;Not applicable/undefined;
Category;OXXXXX;Listed options;This category classifies listed options, which are contracts that grant to the holder either the privilege to purchase or the privilege to sell the assets specified at a predetermined price or formula at or within a time in the future. Where a listed option cannot be classified within this Category, refer to non-listed and complex listed options.
Group;OCXXXX;Call options;"Contracts between a buyer and a seller giving the buyer (holder) the right, but not the obligation, to buy the assets specified at a fixed price or formula, on or before a specified date. The seller of the call option assumes the obligation of delivering the assets specified should the buyer exercise their option.";
Attribute;FirstAttribute;Exercise option style;;
AttributeValue;OCEXXX;E;European (can only be exercised for a short, specified period of time just prior to its expiration, usually a single day);
AttributeValue;OCAXXX;A;American  ( can be exercised at any time between the purchase date and the expiration date);
AttributeValue;OCBXXX;B;Bermudan (can only be exercised on predetermined dates, usually every month);
Attribute;SecondAttribute;Underlying assets;indicates the type of underlying assets that the option holder is entitled to acquire;
AttributeValue;OCXBXX;B;Baskets;
AttributeValue;OCXSXX;S;Stock-equities;
AttributeValue;OCXDXX;D;Debt instruments;
AttributeValue;OCXTXX;T;Commodities;
AttributeValue;OCXCXX;C;Currencies;
AttributeValue;OCXIXX;I;Indices;
AttributeValue;OCXOXX;O;Options;
AttributeValue;OCXFXX;F;Futures;
AttributeValue;OCXWXX;W;Swaps;
AttributeValue;OCXNXX;N;Interest rates;
AttributeValue;OCXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Delivery;indicates whether the settlement of the option, when exercised, is made in cash or whether the underlying instruments are delivered;
AttributeValue;OCXXPX;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;OCXXCX;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;OCXXNX;N;Non-deliverable [synthetic options on foreign exchange forwards that are based on non-convertible or thinly traded currencies];
AttributeValue;OCXXEX;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Attribute;FourthAttribute;Standardized/non-standardized;indicates whether the terms of the contract are standardized or not;
AttributeValue;OCXXXS;S;"Standardized (the underlying instruments, exercise price, expiration date and contract size of the options are standardized; these options are traded on special option exchanges)";
AttributeValue;OCXXXN;N;Non-standardized (options traded on option exchanges which have non-standard delivery or expiry terms);
Group;OPXXXX;Put options;"Contracts between a buyer and a seller giving the buyer (holder) the right, but not the obligation, to sell the assets specified at a fixed price or formula, on or before a specified date. The seller of the put option assumes the obligation of buying the assets specified should the buyer exercise their option.";
Attribute;FirstAttribute;Exercise option style;;
AttributeValue;OPEXXX;E;European (can only be exercised for a short, specified period of time just prior to its expiration, usually a single day);
AttributeValue;OPAXXX;A;American  ( can be exercised at any time between the purchase date and the expiration date);
AttributeValue;OPBXXX;B;Bermudan (can only be exercised on predetermined dates, usually every month);
Attribute;SecondAttribute;Underlying assets of the put option;indicates the type of underlying assets that the option holder is entitled to buy, respectively to sell;
AttributeValue;OPXBXX;B;Baskets;
AttributeValue;OPXSXX;S;Stock-equities;
AttributeValue;OPXDXX;D;Debt instruments;
AttributeValue;OPXTXX;T;Commodities;
AttributeValue;OPXCXX;C;Currencies;
AttributeValue;OPXIXX;I;Indices;
AttributeValue;OPXOXX;O;Options;
AttributeValue;OPXFXX;F;Futures;
AttributeValue;OPXWXX;W;Swaps;
AttributeValue;OPXNXX;N;Interest rates;
AttributeValue;OPXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Delivery;indicates whether the settlement of the option, when exercised, is made in cash or whether the underlying instruments are delivered;
AttributeValue;OPXXPX;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;OPXXCX;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;OPXXNX;N;Non-deliverable [synthetic options on foreign exchange forwards that are based on non-convertible or thinly traded currencies];
AttributeValue;OPXXEX;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Attribute;FourthAttribute;Standardized/non-standardized;indicates whether the terms of the contract are standardized or not;
AttributeValue;OPXXXS;S;"Standardized (the underlying instruments, exercise price, expiration date and contract size of the options are standardized; these options are traded on special option exchanges)";
AttributeValue;OPXXXN;N;Non-standardized (options traded on option exchanges which have non-standard delivery or expiry terms);
Group;OMXXXX;Others (miscellaneous);"Options that do not fit into any of the other Listed options Groups.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;OMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;OMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;OMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;OMXXXX;X;Not applicable/undefined;
Category;FXXXXX;Futures;Contracts, listed on an exchange or regulated market, which obligate the buyer to receive and the seller to deliver in the future the assets specified at an agreed price. This includes forwards on regulated markets.
Group;FFXXXX;Financial futures;"Futures contracts based on underlying assets excluding commodities.";
Attribute;FirstAttribute;Underlying assets;indicates the type of underlying assets that the futures buyer receives, and that the seller delivers;
AttributeValue;FFBXXX;B;Baskets;
AttributeValue;FFSXXX;S;Stock-equities;
AttributeValue;FFDXXX;D;Debt instruments;
AttributeValue;FFCXXX;C;Currencies;
AttributeValue;FFIXXX;I;Indices;
AttributeValue;FFOXXX;O;Options;
AttributeValue;FFFXXX;F;Futures;
AttributeValue;FFWXXX;W;Swaps;
AttributeValue;FFNXXX;N;Interest rates;
AttributeValue;FFVXXX;V;Stock dividends;
AttributeValue;FFMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Delivery;indicates whether the settlement of the future is made in cash or whether the underlying instruments are delivered;
AttributeValue;FFXPXX;P;Physical;
AttributeValue;FFXCXX;C;Cash;
AttributeValue;FFXNXX;N;Non-deliverable;
Attribute;ThirdAttribute;Standardized/non-standardized;indicates whether the terms of the contract are standardized or not;
AttributeValue;FFXXSX;S;"Standardized (the underlying instruments, exercise price, expiration date and contract size of the options are standardized; these options are traded on special option exchanges)";
AttributeValue;FFXXNX;N;Non-standardized (futures which have non-standard delivery or expiry terms);
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;FFXXXX;X;Not applicable/undefined;
Group;FCXXXX;Commodities futures;"Futures contracts based on bulk goods.";
Attribute;FirstAttribute;Underlying assets of the commodity futures;indicates the type of underlying assets that the futures buyer receives, respectively that the seller delivers;
AttributeValue;FCEXXX;E;Extraction resources (metals, precious metals, coal, oil, gas);
AttributeValue;FCAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;FCIXXX;I;Industrial products (construction, manufacturing);
AttributeValue;FCSXXX;S;Services (transportation, communication, trade);
AttributeValue;FCNXXX;N;Environmental (includes carbon-related, emission reduction, weather);
AttributeValue;FCPXXX;P;Polypropylene products (includes plastics);
AttributeValue;FCHXXX;H;Generated resources (includes electricity, renewable energy, or any power/energy delivered through a utility network or provider);
AttributeValue;FCMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Delivery;indicates whether the settlement of the future is made in cash or whether the underlying instruments are delivered;
AttributeValue;FCXPXX;P;Physical;
AttributeValue;FCXCXX;C;Cash;
AttributeValue;FCXNXX;N;Non-deliverable;
Attribute;ThirdAttribute;Standardized/non-standardized;indicates whether the terms of the contract are standardized or not;
AttributeValue;FCXXSX;S;"Standardized (the underlying instruments, exercise price, expiration date and contract size of the options are standardized; these options are traded on special option exchanges)";
AttributeValue;FCXXNX;N;Non-standardized (futures which have non-standard delivery or expiry terms);
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;FCXXXX;X;Not applicable/undefined;
Category;SXXXXX;Swaps;A swap is an agreement or contract where two counterparties agree to exchange periodic streams of cash flows with each other. Swaps can be executed with a variety of asset classes, as listed below.
Group;SRXXXX;Rates;"A rates swap is a contract in which two counterparties each agree to pay the other cash flows on defined dates during an agreed period, based on a specified notional amount and a floating interest, floating inflation or fixed interest rate.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;SRAXXX;A;Basis swap (float-float) [a rate swap where the cash flows that are exchanged between each party are based on different floating interest rates or prices (i.e. one party pays an agreed floating rate multiplied by a notional amount, in exchange for receipt of periodic payments based on another agreed floating rate multiplied by the same notional amount, from the other party)], except those swaps covered by the definitions below for attributes G or H;
AttributeValue;SRCXXX;C;Fixed-floating [a rate swap in which one party (the fixed rate payer) agrees to make fixed payments (the fixed leg) on set dates for an agreed period to another party (the floating rate payer), based on a fixed interest rate multiplied by a notional amount, in exchange for receipt of periodic payments (the floating leg), from the floating rate payer, based on a floating interest rate index multiplied by the same notional amount (in most cases) upon which the fixed rate payments are based], except those swaps covered by the definitions below for attributes G, H or Z;
AttributeValue;SRDXXX;D;"Fixed-fixed (a rate swap in which both parties pay a fixed interest rate that they could not otherwise obtain outside of a swap arrangement; for example, if each counterparty uses a different native currency, but wants to borrow money in the other counterparty’s native currency; fixed-fixed swaps generally take the form of either a zero coupon swap or a cross-currency swap), except those swaps covered by the definitions below for attributes G or Z";
AttributeValue;SRGXXX;G;Inflation swap (a rate swap in which one party pays an amount calculated using an inflation rate index, and the other party pays an amount calculated using another inflation rate index, or a fixed or floating interest rate);
AttributeValue;SRHXXX;H;Overnight index swap (OIS) [a rate swap in which one party (the fixed rate payer) makes periodic payments to another party (the floating rate payer) based on a fixed interest rate (other than zero) or floating interest rate multiplied by a notional amount in exchange for receipt of periodic payments based on an overnight interest rate index multiplied by the same notional amount upon which the fixed rate payments are based];
AttributeValue;SRZXXX;Z;"Zero coupon [a rate swap in which the fixed rate cash flows are compounded and paid once on the expiration data, rather than periodically; the payments on the other side (which can be based on a floating interest rate or a fixed rate) follow typical swap payment schedules]";
AttributeValue;SRMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Notional;indicates the face amount of a swap upon which the payment streams for that swap are based;
AttributeValue;SRXCXX;C;Constant (the notional amount is constant through the life of the contract);
AttributeValue;SRXIXX;I;Accreting (the notional amount increases through the life of the contract);
AttributeValue;SRXDXX;D;Amortizing (the notional amount decreases through the life of the contract);
AttributeValue;SRXYXX;Y;Custom (customized notional step schedule);
Attribute;ThirdAttribute;Single or multi-currency;indicates whether the swap is single or multi-currency;
AttributeValue;SRXXSX;S;Single currency;
AttributeValue;SRXXCX;C;Cross-currency (multi-currency);
Attribute;FourthAttribute;Delivery;;
AttributeValue;SRXXXD;D;Deliverable (the settlement, i.e. payment, currency amounts are paid in the respective reference currency for each leg of the swap for which the payments are being made);
AttributeValue;SRXXXN;N;Non-deliverable (the settlement, i.e. payment, currency amounts are paid in a single currency that either reflects the currency of either leg of the swap or in a currency other than the respective reference currency for each leg of the swap for which the payments are being made);
Group;STXXXX;Commodities;"A commodity swap is a derivative contract where the value of the contract is derived from an underlying commodity or commodity index. Commodity derivatives can be physically settled or cash settled. Primary underliers include metals, agricultural goods and energy.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;STJXXX;J;"Energy [an energy-related product, or a derivative of an energy-related product, including electricity, renewable energy, or any power/energy delivered through a utility network of provider; diesel fuel, fuel oil, gas oil, gasoline, heating oil, jet fuel, kerosene, natural gas, oil (Brent, Tapis, Dubai, WTI)]";
AttributeValue;STKXXX;K;Metals (a precious or industrial metal, such as aluminium, copper, gold, lead, nickel, platinum, silver, tin, zinc);
AttributeValue;STAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;STNXXX;N;Environmental (includes carbon-related, emission reduction, weather);
AttributeValue;STGXXX;G;Freight (the specified commodity is a freight index route);
AttributeValue;STPXXX;P;Polypropylene products;
AttributeValue;STSXXX;S;Fertilizer [ammonia, diammonium phosphate (DAP), potash, sulphur, urea, urea and ammonium nitrate (UAN)];
AttributeValue;STTXXX;T;Paper (containerboard, newsprint, pulp, recovered paper);
AttributeValue;STBXXX;B;Basket – single-commodity (a custom basket containing constituents from one of the underlying assets identified for this attribute);
AttributeValue;STCXXX;C;Basket – multi-commodity (a custom basket containing constituents from two or more of the underlying assets identified for this attribute);
AttributeValue;STHXXX;H;Index – multi-commodity (an index containing constitu- ents from two or more of the underlying assets identified for this attribute);
AttributeValue;STIXXX;I;Index – single-commodity (an index containing constituents from one of the underlying assets identified for this attribute);
AttributeValue;STQXXX;Q;Multi-commodity (each leg of the swap references a different respective commodity than the other leg);
AttributeValue;STMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Return or payout trigger for commodity swaps;method used to determine contract value;
AttributeValue;STXCXX;C;Contract for difference (CFD) (a cash-settled total return swap or forward where the parties agree to exchange on the maturity of the contract the difference between the opening price and closing price of the underlying);
AttributeValue;STXTXX;T;"Total return [the total economic return of an underlying asset is transferred from one party (total return buyer) to another (total return seller); total return seller takes on the risk of negative changes in market value of the reference asset, and pays any positive cash flow to the buyer such as coupon, capital gains or dividends of the reference asset]";
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;STXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;;
AttributeValue;STXXXC;C;Cash;
AttributeValue;STXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;STXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Group;SEXXXX;Equity;"An equity swap is a derivative contract where payments are linked to the change in value of an underlying equity (e.g. shares, basket of equities or index). The equity return payer pays to the equity return receiver any increase in the value of the underlying plus any dividends received. The equity return receiver pays the equity return payer any decrease in the value of the underlying plus funding cost.";
Attribute;FirstAttribute;Underlying assets of equity swaps;;
AttributeValue;SESXXX;S;Single stock (single name security);
AttributeValue;SEIXXX;I;Index (a synthetic portfolio of underlying assets whose components have been set by a third-party administrator);
AttributeValue;SEBXXX;B;Basket (a bespoke, synthetic portfolio of underlying assets whose components have been agreed to for a specific OTC derivative by the parties to the transaction);
AttributeValue;SEMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Return or payout trigger for equity swaps;;
AttributeValue;SEXPXX;P;"Price (price return equity swap; similar to a total return swap, except that dividends are not passed through to the buyer)";
AttributeValue;SEXDXX;D;Dividend (a fixed-term contract between two parties where one party will make an interest rate payment for each interval and the other party will pay the total dividends received as pay-out by a selected underlying asset);
AttributeValue;SEXVXX;V;Variance [a forward swap that uses the variance (being the volatility squared) of an underlying’s price movement over a period as the basis for the payoff calculation];
AttributeValue;SEXLXX;L;"Volatility (the variability of movements in a security or underlying instrument’s price; it is a measure of the amount by which an asset’s price is expected to fluctuate over a given period of time; it is normally measured by the annual standard deviation of daily price changes)";
AttributeValue;SEXTXX;T;"Total return [the total economic return of an underlying asset is transferred from one party (total return buyer) to another (total return seller); total return seller takes on the risk of negative changes in market value of the reference asset, and pays any positive cash flow to the buyer such as coupon, capital gains or dividends of the reference asset]";
AttributeValue;SEXCXX;C;Contract for difference (CFD) (a cash-settled total return swap or forward where the parties agree to exchange on the maturity of the contract the difference between the opening price and closing price of the underlying);
AttributeValue;SEXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;SEXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;;
AttributeValue;SEXXXC;C;Cash;
AttributeValue;SEXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;SEXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Group;SCXXXX;Credit;"A credit swap references a value or event related to a debt product or debt issuer.";
Attribute;FirstAttribute;Underlying assets of credit swaps;;
AttributeValue;SCUXXX;U;Single name (the underlying risk is a single reference entity or reference obligation);
AttributeValue;SCVXXX;V;"Index tranche [a synthetic collateralized debt obligation (CDO) based on a credit index where each tranche references a different segment of the loss distribution of the underlying index; each tranche has a different priority of claims on the principal and interest flows from the collateral pool, and is traditionally portioned into rising levels of seniority]";
AttributeValue;SCIXXX;I;"Index [family of standardized credit derivative indices, where the underlying reference entities are a defined basket of credit from a particular geographic region (e.g. Asia, North America, Europe), and/or credit rating level (e.g. emerging markets, high yield, investment grade); credit default indices trade in standard maturities, and the reference entities are typically the most liquid; the reference portfolio is reassessed periodically to maintain this]";
AttributeValue;SCBXXX;B;Basket (a bespoke, synthetic portfolio of underlying assets whose components have been agreed to for a specific OTC derivative by the parties to the transaction);
AttributeValue;SCMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Return or payout trigger;;
AttributeValue;SCXCXX;C;Credit default [a credit default swap (CDS) is a contract in which one party (protection seller) agrees to provide payment to the other party (protection buyer) should a credit event occur against the underlying, which could be a specified debt (the reference obligation), a specific debt issuer (reference entity), a basket of reference entities and/or reference obligations or a credit index (reference index)];
AttributeValue;SCXTXX;T;Total return;
AttributeValue;SCXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Underlying issuer type;;
AttributeValue;SCXXCX;C;Corporate entity [the underlying exposure is a corporate;
AttributeValue;SCXXSX;S;"Sovereign [the underlying exposure is a sovereign, e.g. country; thus, investor’s risk is that a country may not (be able to) pay its debt obligations; supranationals would be included here]";
AttributeValue;SCXXLX;L;Local (a municipality or local government authority);
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;SCXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;SCXXXD;D;Deliverable (the settlement, i.e. payment, currency amounts are paid in the respective reference currency for each leg of the swap for which the payments are being made);
AttributeValue;SCXXXA;A;Auction (an independently administered synthetic auction process on a set of defined deliverable obligations that sets a reference final price that can be used to facilitate cash settlement of all covered transactions following a credit event);
Group;SFXXXX;Foreign exchange;"A foreign exchange (FX) swap is a foreign exchange agreement between two parties to exchange a given amount of one currency for another currency for spot delivery or for forward delivery at an agreed rate after a specified period of time.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;SFAXXX;A;"Spot-forward swap (a transaction that involves both an exchange of two currencies on the spot settlement date at a fixed rate that is agreed upon at the inception of the contract covering the exchange; and a reverse exchange of the same two currencies at a later date and at a fixed rate that is agreed upon at the inception of the contract covering the exchange)";
AttributeValue;SFCXXX;C;"Forward-forward swap (a transaction that involves both an exchange of two currencies on a specified future date at a fixed rate that is agreed upon at the inception of the contract covering the exchange; and a reverse exchange of the same two currencies at a further future date, at a fixed rate that is agreed upon at the inception of the contract covering the exchange, e.g. a swap between the 3-month forward and 6-month forward dates)";
AttributeValue;SFMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;SFXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;SFXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;indicates whether the payment currency for each leg of the swap is the same as the reference currency for that leg;
AttributeValue;SFXXXC;C;Cash (the discharge of an obligation by payment or receipt of a net cash amount instead of payment or delivery by both parties);
AttributeValue;SFXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
Group;SMXXXX;Others (miscellaneous);"Swaps that do not fit into any of the Swaps Groups";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;SMPXXX;P;"Commercial property (or property derivative) [a derivative where the underlying is commercial property; property derivatives are mostly in the form of swaps where one party pays the return on the index if positive versus the other party paying LIBOR (London interbank offered rate)]";
AttributeValue;SMMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;SMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;SMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Delivery;;
AttributeValue;SMXXXC;C;Cash;
AttributeValue;SMXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;SMXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Category;HXXXXX;Non-listed and complex listed options;This Category includes OTC or unlisted options and also includes any listed option which is not captured by the listed options Category. An option grants the holder either the privilege to purchase or the privilege to sell the assets specified at a predetermined price or formula at or within a time in the future.
Group;HRXXXX;Rates;"An option where the holder of the option has the right but not the obligation to enter into the underlying contract, or pay or receive payment related to the underlying rate on a specified future date based on a specified future rate and term.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;HRAXXX;A;Basis swap (float-float);
AttributeValue;HRCXXX;C;Fixed-Floating swap;
AttributeValue;HRDXXX;D;Fixed-Fixed swap;
AttributeValue;HREXXX;E;Interest rate index;
AttributeValue;HRGXXX;G;Inflation rate index;
AttributeValue;HRHXXX;H;Overnight index swap;
AttributeValue;HROXXX;O;Options;
AttributeValue;HRRXXX;R;Forwards (derivatives involving the exchange of two rates on a defined future date, as agreed by the two parties to the transaction);
AttributeValue;HRFXXX;F;Futures;
AttributeValue;HRMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Option style and type;;
AttributeValue;HRXAXX;A;European-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price only on the expiration date of the call];
AttributeValue;HRXBXX;B;American-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price at any time during the term of the call option, up to and including the expiration date of the call];
AttributeValue;HRXCXX;C;Bermudan-Call [an option on a contract which allows its holder (buyer) to exercise the right to buy specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the call];
AttributeValue;HRXDXX;D;European-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price only on the expiration date of the put];
AttributeValue;HRXEXX;E;American-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price at any time during the term of the put option, up to and including the expiration date of the put];
AttributeValue;HRXFXX;F;Bermudan-Put [an option on a contract which allows its holder (buyer) to exercise the right to sell specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the put];
AttributeValue;HRXGXX;G;"European-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price, only on the contract's expiration date; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HRXHXX;H;"American-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price at any time during the term of the contract, up to and including the expiration date of the call or put; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
AttributeValue;HRXIXX;I;"Bermudan-Chooser [an option on a contract which allows its holder (buyer) to exercise the right to buy (call) or sell (put) specified assets (interest rates product) at a fixed price on a number of specific dates within the exercise period of the contract; the buyer does not have to decide whether the contract will be a put or a call until an agreed future date, prior to expiration]";
Attribute;ThirdAttribute;Valuation method or trigger;;
AttributeValue;HRXXVX;V;Vanilla (an option for which all terms are standardized);
AttributeValue;HRXXAX;A;"Asian (an option where either the strike price or the settlement price is the average level of an underlying instrument over a predetermined period; the averaging can be either a geometric or arithmetic average)";
AttributeValue;HRXXDX;D;"Digital (Binary) (an option that has a pre-determined payout if the option is in-the-money and the payoff condition is satisfied; also referred to as a “binary option” or an “all-or-nothing option”)";
AttributeValue;HRXXBX;B;"Barrier (an option whose final exercise depends upon the path taken by the price of an underlying instrument; for a “knock-out” barrier option, the option is cancelled if the underlying price crosses a predetermined barrier level; for a “knock-in” barrier option, the option becomes availablefor- exercise if the underlying price crosses a predetermined barrier level)";
AttributeValue;HRXXGX;G;"Digital barrier (a digital option embedded with a barrier option; there are different variations of this type of option; as an example, a down-and-out digital call option will pay a fixed payoff, or the underlying, at any time before maturity that the underlying price is equal to or greater than the barrier level; it will pay zero if the underlying price is less than the barrier level)";
AttributeValue;HRXXLX;L;"Lookback (an option that minimizes the uncertainties related to the timing of market entry; there are two types of lookback options: fixed and floating; the fixed option strike is determined at purchase, and the floating option strike is determined at maturity)";
AttributeValue;HRXXPX;P;Other path dependent (an option on a contract whose payoff is directly related to the price pattern the underlying asset follows during the life of the contract);
AttributeValue;HRXXCX;C;Cap (an option in which the payment is triggered when the value of the underlier exceeds a specified level);
AttributeValue;HRXXFX;F;Floor (an option in which the payment is triggered when the value of the underlier falls below a specified level);
AttributeValue;HRXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Delivery;;
AttributeValue;HRXXXC;C;Cash;
AttributeValue;HRXXXP;P;Physical [the meeting of a settlement obligation under a derivative contract through the receipt or delivery of the actual underlying instrument(s) instead of through cash settlement];
AttributeValue;HRXXXE;E;Elect at exercise (the method of delivery of the underlying instrument when the option is exercised shall be determined at the time of exercise);
Group;HTXXXX;Commodities;"An option where the option buyer has the right to buy or sell specified commodities assets at a fixed price or formula, on or before a specified date.";
Attribute;FirstAttribute;Underlying assets;;
AttributeValue;HTJXXX;J;"Energy [an energy-related product, or a derivative of an energy-related product, including electricity, renewable energy, or any power/energy delivered through a utility network of provider; diesel fuel, fuel oil, gas oil, gasoline, heating oil, jet fuel, kerosene, natural gas, oil (Brent, Tapis, Dubai, WTI)]";
AttributeValue;HTKXXX;K;Metals (a precious or industrial metal, such as aluminium, copper, gold, lead, nickel, platinum, silver, tin, zinc);
AttributeValue;HTAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;HTNXXX;N;Environmental (includes carbon-related, emission reduction, weather);
AttributeValue;HTGXXX;G;Freight (the specified commodity is a freight index route);
AttributeValue;HTPXXX;P;Polypropylene products;
AttributeValue;HTSXXX;S;Fertilizer [ammonia, diammonium phosphate (DAP), potash, sulphur, urea, urea and ammonium nitrate (UAN)];
AttributeValue;HTTXXX;T;Paper  (containerboard, newsprint, pulp, recovered paper);
AttributeValue;HTBXXX;B;Basket – single-commodity (a custom basket containing constituents from one of the underlying assets identified for this attribute);
AttributeValue;HTCXXX;C;Basket – multi-commodity (a custom basket containing constituents from two or more of the underlying assets identified for this attribute);
AttributeValue;HTHXXX;H;Index – multi-commodity (an index containing constitu- ents from two or more of the underlying assets identified for this attribute);
AttributeValue;HTIXXX;I;Index – single-commodity (an option where the underlying reference entity is a commodity index);
AttributeValue;HTOXXX;O;Options;
AttributeValue;HTRXXX;R;Forwards;
AttributeValue;HTFXXX;F;Futures;
AttributeValue;HTWXXX;W;Swaps;
